Hugo_Symbol	NTN006_Baseline	NTN007_Baseline	NTN012_Baseline	NTN014_Baseline	NTN017_Baseline	NTN020_Baseline	NTN021_Baseline	NTN022_Baseline	NTN023_Baseline	NTN025_Baseline	NTN029_Baseline	NTN031_Baseline	NTN033_Baseline	NTN038_Baseline	NTN042_Baseline	NTN040_Baseline	NTN046_Baseline	NTN049_Baseline	NTN052_Baseline	NTN050_Baseline	NTN057_Baseline	NTN056_Baseline	NTN058_Baseline	NTN060_Baseline	NTN062_Baseline	NTN063_Baseline	NTN069_Baseline	NTN074_Baseline	NTN076_Baseline	NTN080_Baseline	NTN081_Baseline	NTN083_Baseline	NTN084_Baseline	NTN085_Baseline	NTN087_Baseline	NTN089_Baseline	NTN039_Baseline	H36960.002_Baseline	H36960.023_Baseline	H36960.019_Baseline	H36960.008_Baseline	H36960.018_Baseline	H36960.009_Baseline	NTN011_Baseline	NTN013_Baseline	NTN044_Baseline	NTN072_Baseline	H36960.014_Baseline
LOC115110	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
TNFRSF14	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
FAM213B	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
MMEL1	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
TTC34	0	0	0	1	0	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
ACTRT2	0	0	0	1	0	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
LINC00982	0	0	0	1	0	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
PRDM16	0	0	0	1	0	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
MIR4251	0	0	0	1	0	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
ARHGEF16	0	0	0	1	0	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	-1	-1	1	0	-1	1	0	-1	0	0	0	0
MEGF6	0	0	0	1	0	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	-1	-1	1	0	-1	1	0	-1	0	0	0	0
MIR551A	0	0	0	1	0	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	-1	-1	1	0	-1	1	0	-1	0	0	0	0
hsa-mir-551a	0	0	0	1	0	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	-1	-1	1	0	-1	1	0	-1	0	0	0	0
